"Country","ISO3","Specie","Breed/Most common name","Language","Description","Transboundary name","Other name"
"Afghanistan","AFG","Ass","Donkey","eng. = breed name unknown","","",""
"Afghanistan","AFG","Cattle","Afghan","","","","Kabuli"
"Afghanistan","AFG","Cattle","Kandahari","","","",""
"Afghanistan","AFG","Cattle","Konari","","","",""
"Afghanistan","AFG","Cattle","Kunari","","","","Kunary"
"Afghanistan","AFG","Cattle","Shakhansurri","","","",""
"Afghanistan","AFG","Cattle","Sistani","","","",""
"Afghanistan","AFG","Cattle","Watani","","","",""
"Afghanistan","AFG","Chicken","Fayoumi","","","Fayoumi",""
"Afghanistan","AFG","Chicken","Khasaki","","","",""
"Afghanistan","AFG","Chicken","Kulangi","","","",""
"Afghanistan","AFG","Chicken","Pusty","","","","Pusti"
"Afghanistan","AFG","Chicken","Sabzwari","","","",""
"Afghanistan","AFG","Dromedary","Burden camel","eng. = breed name unknown","","",""
"Afghanistan","AFG","Dromedary","Riding camel","eng.= breed name unknown","","",""
"Afghanistan","AFG","Goat","Asmari","","","","Gujeri"
"Afghanistan","AFG","Goat","Cheeli","","","",""
"Afghanistan","AFG","Goat","Markhor","eng.","","Markhor","Capra Falconeri Wagner"
"Afghanistan","AFG","Goat","Paroni","","","",""
"Afghanistan","AFG","Goat","Rahnama","","","",""
"Afghanistan","AFG","Goat","Watani","alb.","","","Afghan Native Black, Kabuli, Kandahari, Tajiki, Vatani"
"Afghanistan","AFG","Horse","Buzkashi","","","",""
"Afghanistan","AFG","Horse","Dawand","","","",""
"Afghanistan","AFG","Horse","Herati","","","",""
"Afghanistan","AFG","Horse","Kohband","","","",""
"Afghanistan","AFG","Horse","Mazari","","","",""
"Afghanistan","AFG","Horse","Qatgani","","","",""
"Afghanistan","AFG","Horse","Qazal","","","",""
"Afghanistan","AFG","Horse","Samand","","","",""
"Afghanistan","AFG","Horse","Tooraq","","","",""
"Afghanistan","AFG","Horse","Waziri","","","Waziri",""
"Afghanistan","AFG","Horse","Yabu","","","Yabu",""
"Afghanistan","AFG","Horse","Yargha","","","",""
"Afghanistan","AFG","Sheep","Afghan Arabi","","","",""
"Afghanistan","AFG","Sheep","Baluchi","","","Baluchi","Araghi, Farahani, Kermani, Khorasani, Mengali, Naeini, Neini, Shinwari, Taraki, Yazda, Baluchi Dumba"
"Afghanistan","AFG","Sheep","Gadik","","","",""
"Afghanistan","AFG","Sheep","Ghiljai","","","","Ghaljai, Ghilzai"
"Afghanistan","AFG","Sheep","Hazaragie","","","",""
"Afghanistan","AFG","Sheep","Kandahari","","","","Farah, Herat, Herati, Farahi"
"Afghanistan","AFG","Sheep","Karakul","","","Karakul","Astrakhan, Bukhara, Karakul'Skaya, Persian Lamb, Persian Lambrakhan, Karakul'"
"Afghanistan","AFG","Sheep","Marco Polo's Sheep","eng.","","Marco Polo's Sheep","Great Pamir Sheep, Pamir Argali, Great Tibetan Sheep"
"Afghanistan","AFG","Sheep","Panjsher Gadik","","","",""
"Afghanistan","AFG","Sheep","Turki","","","Turki","Afghani"
"Afghanistan","AFG","Sheep","Urial","","","Urial","Vignei Section, Ovis Orientalis Gmelin"
"Afghanistan","AFG","Sheep","Wakhan Gadik","","","",""
"Afghanistan","AFG","Yak (domestic)","Yak","","","",""
"Angola","AGO","Cattle","Africander","","","Africander",""
"Angola","AGO","Cattle","Barotse","","","Barotse","Rowzi, Rozi, Lozi"
"Angola","AGO","Cattle","Bonsmara","","","Bonsmara",""
"Angola","AGO","Cattle","Brahman","","","Brahman",""
"Angola","AGO","Cattle","Brown-Swiss","","","Brown Swiss",""
"Angola","AGO","Cattle","Cateta","","","",""
"Angola","AGO","Cattle","Charolais","fr.","","Charolais",""
"Angola","AGO","Cattle","Damara","","","Damara","Herero"
"Angola","AGO","Cattle","Daomé","","","",""
"Angola","AGO","Cattle","Holstein Frisian","","","Holstein (black and white)",""
"Angola","AGO","Cattle","Humbe","","","","Humbi"
"Angola","AGO","Cattle","Jersey","eng.","","Jersey",""
"Angola","AGO","Cattle","Kwaniama","","","",""
"Angola","AGO","Cattle","Mocho de Malange","","","",""
